	HB.var_c
3.70000000000000151E0	2	4.98404586289117457E9
3.70000000000000151E0	3	7.47606879433676141E9
3.70000000000000151E0	4	9.96809172578234914E9
3.70000000000000151E0	5	1.24601146572279320E10
3.70000000000000151E0	6	1.49521375886735219E10
3.70000000000000151E0	7	1.74441605201191052E10
3.70000000000000151E0	8	1.99361834515646974E10
3.70000000000000151E0	9	2.24282063830102851E10
3.70000000000000151E0	10	2.49202293144558640E10

var_c	harmindex	freq[16, ::]
3.80000000000000160E0	0	0.00000000000000000E0
3.80000000000000160E0	1	2.49103067166759384E9
3.80000000000000160E0	2	4.98206134333518769E9
3.80000000000000160E0	3	7.47309201500278153E9
3.80000000000000160E0	4	9.96412268667037537E9
3.80000000000000160E0	5	1.24551533583379692E10
3.80000000000000160E0	6	1.49461840300055626E10
3.80000000000000160E0	7	1.74372147016731605E10
3.80000000000000160E0	8	1.99282453733407516E10
3.80000000000000160E0	9	2.24192760450083384E10
3.80000000000000160E0	10	2.49103067166759384E10

var_c	harmindex	freq[17, ::]
3.90000000000000169E0	0	0.00000000000000000E0
3.90000000000000169E0	1	2.49008649498515133E9
3.90000000000000169E0	2	4.98017298997030267E9
3.90000000000000169E0	3	7.47025948495545133E9
3.90000000000000169E0	4	9.96034597994060533E9
3.90000000000000169E0	5	1.24504324749257522E10
3.90000000000000169E0	6	1.49405189699109031E10
3.90000000000000169E0	7	1.74306054648960584E10
3.90000000000000169E0	8	1.99206919598812116E10
3.90000000000000169E0	9	2.24107784548663647E10
3.90000000000000169E0	10	2.49008649498515044E10

var_c	harmindex	freq[18, ::]
4.00000000000000178E0	0	0.00000000000000000E0
4.00000000000000178E0	1	2.48918698954601636E9
4.00000000000000178E0	2	4.97837397909203272E9
4.00000000000000178E0	3	7.46756096863805130E9
4.00000000000000178E0	4	9.95674795818406544E9
4.00000000000000178E0	5	1.24459349477300818E10
4.00000000000000178E0	6	1.49351219372761035E10
4.00000000000000178E0	7	1.74243089268221141E10
4.00000000000000178E0	8	1.99134959163681313E10
4.00000000000000178E0	9	2.24026829059141441E10
4.00000000000000178E0	10	2.48918698954601636E10

var_c	harmindex	freq[19, ::]
4.10000000000000142E0	0	0.00000000000000000E0
4.10000000000000142E0	1	2.48832905879423461E9
4.10000000000000142E0	2	4.97665811758846921E9
4.10000000000000142E0	3	7.46498717638270115E9
4.10000000000000142E0	4	9.95331623517693842E9
4.10000000000000142E0	5	1.24416452939711730E10
4.10000000000000142E0	6	1.49299743527654027E10
4.10000000000000142E0	7	1.74183034115596413E10
4.10000000000000142E0	8	1.99066324703538777E10
4.10000000000000142E0	9	2.23949615291481097E10
4.10000000000000142E0	10	2.48832905879423461E10

var_c	harmindex	freq[20, ::]
4.20000000000000107E0	0	0.00000000000000000E0
4.20000000000000107E0	1	2.48750988587485811E9
4.20000000000000107E0	2	4.97501977174971621E9
4.20000000000000107E0	3	7.46252965762457610E9
4.20000000000000107E0	4	9.95003954349943243E9
4.20000000000000107E0	5	1.24375494293742905E10
4.20000000000000107E0	6	1.49250593152491517E10
4.20000000000000107E0	7	1.74125692011240085E10
4.20000000000000107E0	8	1.99000790869988653E10
4.20000000000000107E0	9	2.23875889728737221E10
4.20000000000000107E0	10	2.48750988587485811E10

var_c	harmindex	freq[21, ::]
4.30000000000000071E0	0	0.00000000000000000E0
4.30000000000000071E0	1	2.48672690275435437E9
4.30000000000000071E0	2	4.97345380550870875E9
4.30000000000000071E0	3	7.46018070826306445E9
4.30000000000000071E0	4	9.94690761101741749E9
4.30000000000000071E0	5	1.24336345137717696E10
4.30000000000000071E0	6	1.49203614165261289E10
4.30000000000000071E0	7	1.74070883192804793E10
4.30000000000000071E0	8	1.98938152220348341E10
4.30000000000000071E0	9	2.23805421247891889E10
4.30000000000000071E0	10	2.48672690275435393E10

var_c	harmindex	freq[22, ::]
4.40000000000000036E0	0	0.00000000000000000E0
4.40000000000000036E0	1	2.48597776334296316E9
4.40000000000000036E0	2	4.97195552668592633E9
4.40000000000000036E0	3	7.45793329002888861E9
4.40000000000000036E0	4	9.94391105337185266E9
4.40000000000000036E0	5	1.24298888167148158E10
4.40000000000000036E0	6	1.49158665800577772E10
4.40000000000000036E0	7	1.74018443434007430E10
4.40000000000000036E0	8	1.98878221067437044E10
4.40000000000000036E0	9	2.23737998700866658E10
4.40000000000000036E0	10	2.48597776334296316E10

var_c	harmindex	freq[23, ::]
4.50000000000000000E0	0	0.00000000000000000E0
4.50000000000000000E0	1	2.48526032002722763E9
4.50000000000000000E0	2	4.97052064005445526E9
4.50000000000000000E0	3	7.45578096008168423E9
4.50000000000000000E0	4	9.94104128010891053E9
4.50000000000000000E0	5	1.24263016001361448E10
4.50000000000000000E0	6	1.49115619201633676E10
4.50000000000000000E0	7	1.73968222401905948E10
4.50000000000000000E0	8	1.98820825602178219E10
4.50000000000000000E0	9	2.23673428802450491E10
4.50000000000000000E0	10	2.48526032002722896E10

var_c	harmindex	freq[24, ::]
4.59999999999999964E0	0	0.00000000000000000E0
4.59999999999999964E0	1	2.48457260311809369E9
4.59999999999999964E0	2	4.96914520623618738E9
4.59999999999999964E0	3	7.45371780935427886E9
4.59999999999999964E0	4	9.93829041247237477E9
4.59999999999999964E0	5	1.24228630155904707E10
4.59999999999999964E0	6	1.49074356187085577E10
4.59999999999999964E0	7	1.73920082218266536E10
4.59999999999999964E0	8	1.98765808249447495E10
4.59999999999999964E0	9	2.23611534280628366E10
4.59999999999999964E0	10	2.48457260311809414E10

var_c	harmindex	freq[25, ::]
4.69999999999999929E0	0	0.00000000000000000E0
4.69999999999999929E0	1	2.48391280280089521E9
4.69999999999999929E0	2	4.96782560560179043E9
4.69999999999999929E0	3	7.45173840840268298E9
4.69999999999999929E0	4	9.93565121120358086E9
4.69999999999999929E0	5	1.24195640140044761E10
4.69999999999999929E0	6	1.49034768168053655E10
4.69999999999999929E0	7	1.73873896196062594E10
4.69999999999999929E0	8	1.98713024224071622E10
4.69999999999999929E0	9	2.23552152252080516E10
4.69999999999999929E0	10	2.48391280280089521E10

var_c	harmindex	freq[26, ::]
4.79999999999999893E0	0	0.00000000000000000E0
4.79999999999999893E0	1	2.48327925323856968E9
4.79999999999999893E0	2	4.96655850647713937E9
4.79999999999999893E0	3	7.44983775971570772E9
4.79999999999999893E0	4	9.93311701295427874E9
4.79999999999999893E0	5	1.24163962661928484E10
4.79999999999999893E0	6	1.48996755194314145E10
4.79999999999999893E0	7	1.73829547726699896E10
4.79999999999999893E0	8	1.98662340259085579E10
4.79999999999999893E0	9	2.23495132791471240E10
4.79999999999999893E0	10	2.48327925323856968E10

var_c	harmindex	freq[27, ::]
4.89999999999999858E0	0	0.00000000000000000E0
4.89999999999999858E0	1	2.48267041853482695E9
4.89999999999999858E0	2	4.96534083706965390E9
4.89999999999999858E0	3	7.44801125560447908E9
4.89999999999999858E0	4	9.93068167413930780E9
4.89999999999999858E0	5	1.24133520926741348E10
4.89999999999999858E0	6	1.48960225112089573E10
4.89999999999999858E0	7	1.73786929297437820E10
4.89999999999999858E0	8	1.98613633482786156E10
4.89999999999999858E0	9	2.23440337668134337E10
4.89999999999999858E0	10	2.48267041853482695E10

var_c	harmindex	freq[28, ::]
4.99999999999999822E0	0	0.00000000000000000E0
4.99999999999999822E0	1	2.48208488030769114E9
4.99999999999999822E0	2	4.96416976061538229E9
4.99999999999999822E0	3	7.44625464092307254E9
4.99999999999999822E0	4	9.92833952123076457E9
4.99999999999999822E0	5	1.24104244015384513E10
4.99999999999999822E0	6	1.48925092818461446E10
4.99999999999999822E0	7	1.73745941621538291E10
4.99999999999999822E0	8	1.98566790424615291E10
4.99999999999999822E0	9	2.23387639227692114E10
4.99999999999999822E0	10	2.48208488030769026E10

var_c	harmindex	freq[29, ::]
5.09999999999999787E0	0	0.00000000000000000E0
5.09999999999999787E0	1	2.48152132666242631E9
5.09999999999999787E0	2	4.96304265332485262E9
5.09999999999999787E0	3	7.44456397998727937E9
5.09999999999999787E0	4	9.92608530664970523E9
5.09999999999999787E0	5	1.24076066333121315E10
5.09999999999999787E0	6	1.48891279599745596E10
5.09999999999999787E0	7	1.73706492866369833E10
5.09999999999999787E0	8	1.98521706132994114E10
5.09999999999999787E0	9	2.23336919399618328E10
5.09999999999999787E0	10	2.48152132666242631E10

var_c	harmindex	freq[30, ::]
5.19999999999999751E0	0	0.00000000000000000E0
5.19999999999999751E0	1	2.48097854238305704E9
5.19999999999999751E0	2	4.96195708476611408E9
5.19999999999999751E0	3	7.44293562714917023E9
5.19999999999999751E0	4	9.92391416953222816E9
5.19999999999999751E0	5	1.24048927119152852E10
5.19999999999999751E0	6	1.48858712542983396E10
5.19999999999999751E0	7	1.73668497966813962E10
5.19999999999999751E0	8	1.98478283390644572E10
5.19999999999999751E0	9	2.23288068814475160E10
